267000	FABRICACION DE INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRAFICO
268000	FABRICACION DE SOPORTES MAGNETICOS Y OPTICOS
271000	FABRICACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS, APARATOS DE DISTRIBUCION Y CONTROL
272000	FABRICACION DE PILAS, BATERIAS Y ACUMULADORES
273100	FABRICACION DE CABLES DE FIBRA OPTICA
273200	FABRICACION DE OTROS HILOS Y CABLES ELECTRICOS
273300	FABRICACION DE DISPOSITIVOS DE CABLEADO
274000	FABRICACION DE EQUIPO ELECTRICO DE ILUMINACION
275000	FABRICACION DE APARATOS DE USO DOMESTICO
279000	FABRICACION DE OTROS TIPOS DE EQUIPO ELECTRICO
281100	FABRICACION DE MOTORES Y TURBINAS, EXCEPTO PARA AERONAVES, VEHICULOS AUTOMOTORES Y MOTOCICLETAS
281200	FABRICACION DE EQUIPO DE PROPULSION DE FLUIDOS
281300	FABRICACION DE OTRAS BOMBAS, COMPRESORES, GRIFOS Y VALVULAS
281400	FABRICACION DE COJINETES, ENGRANAJES, TRENES DE ENGRANAJES Y PIEZAS DE TRANSMISION
281500	FABRICACION DE HORNOS, CALDERAS Y QUEMADORES
281600	FABRICACION DE EQUIPO DE ELEVACION Y MANIPULACION
281700	FABRICACION DE MAQUINARIA Y EQUIPO DE OFICINA (EXCEPTO COMPUTADORES Y EQUIPO PERIFERICO)
281800	FABRICACION DE HERRAMIENTAS DE MANO MOTORIZADAS
281900	FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL
282100	FABRICACION DE MAQUINARIA AGROPECUARIA Y FORESTAL
282200	FABRICACION DE MAQUINARIA PARA LA CONFORMACION DE METALES Y DE MAQUINAS HERRAMIENTA
282300	FABRICACION DE MAQUINARIA METALURGICA
282400	FABRICACION DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCION
282500	FABRICACION DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS, BEBIDAS Y TABACO
282600	FABRICACION DE MAQUINARIA PARA LA ELABORACION DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CUEROS
282900	FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL
291000	FABRICACION DE VEHICULOS AUTOMOTORES
292000	FABRICACION DE CARROCERIAS PARA VEHICULOS AUTOMOTORES, FABRICACION DE REMOLQUES Y SEMIRREMOLQUES
293000	FABRICACION DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES
